,x,y,z
Precentral_L,-38.92822695035461,-6.959999999999994,49.64652482269504
Precentral_R,41.10085773439812,-9.549837326234837,50.80981958000592
Frontal_Sup_L,-18.79777158774374,33.41782729805013,40.99442896935933
Frontal_Sup_R,21.604834731129742,29.909718796250615,42.513073507646766
Frontal_Sup_Orb_L,-16.824506749740394,45.919003115264786,-14.718587746625133
Frontal_Sup_Orb_R,18.17853560682046,46.61785356068205,-15.494483450351055
Frontal_Mid_L,-33.76013166015223,31.49763423163958,34.128368648426246
Frontal_Mid_R,37.39502058419917,31.771417369143307,32.80180356792786
Frontal_Mid_Orb_L,-30.885135135135137,49.1418918918919,-10.986486486486484
Frontal_Mid_Orb_R,32.894581280788174,51.27487684729064,-12.141871921182265
Frontal_Inf_Oper_L,-48.795761078998076,11.49132947976878,17.801541425818883
Frontal_Inf_Oper_R,49.92709077912795,13.675482487491053,20.19585418155826
Frontal_Inf_Tri_L,-45.890075128509295,28.666666666666657,12.582839066824832
Frontal_Inf_Tri_R,50.061366806136675,28.901906090190607,12.817294281729431
Frontal_Inf_Orb_L,-36.24023668639053,29.49230769230769,-13.459171597633137
Frontal_Inf_Orb_R,40.910369068541314,30.99472759226714,-13.258347978910372
Rolandic_Oper_L,-47.378542510121456,-9.751012145748987,12.635627530364374
Rolandic_Oper_R,52.381667918858,-7.537190082644628,13.32982719759579
Supp_Motor_Area_L,-6.809734513274336,3.129424778761063,60.535398230088504
Supp_Motor_Area_R,8.246309574019406,-1.0932096161956935,60.512863770560955
Olfactory_L,-8.900000000000006,13.930769230769243,-13.00769230769231
Olfactory_R,10.124567474048447,14.664359861591691,-12.560553633217992
Frontal_Sup_Medial_L,-6.817406143344712,48.22696245733789,28.805460750853243
Frontal_Sup_Medial_R,8.75070290534208,49.52858481724462,28.92689784442362
Frontal_Med_Orb_L,-6.527363184079604,52.25538971807629,-8.762852404643446
Frontal_Med_Orb_R,7.834112149532714,50.406542056074755,-8.516355140186917
Rectus_L,-6.696148359486443,35.04992867332382,-19.292439372325248
Rectus_R,8.002684563758393,34.451006711409406,-19.436241610738257
Insula_L,-35.410118406889126,5.440258342303565,2.1722282023681316
Insula_R,38.721311475409834,5.027699265121527,0.8015828151497999
Cingulum_Ant_L,-5.824790307548923,34.46598322460392,12.065237651444548
Cingulum_Ant_R,8.117288651942118,35.72277227722773,14.432597105864431
Cingulum_Mid_L,-6.997555012224936,-16.585574572127143,40.26283618581907
Cingulum_Mid_R,7.664094416704501,-10.197004085338179,38.43758511121199
Cingulum_Post_L,-6.188295165394408,-44.16793893129771,22.463104325699746
Cingulum_Post_R,7.141141141141148,-43.09309309309309,20.516516516516518
Hippocampus_L,-25.25536480686695,-21.963519313304715,-11.384120171673821
Hippocampus_R,28.94503171247358,-20.991543340380545,-11.577167019027485
ParaHippocampal_L,-21.492842535787318,-17.29243353783231,-21.918200408997954
ParaHippocampal_R,25.148409893992934,-16.300353356890454,-21.743816254416963
Amygdala_L,-23.509090909090915,-1.9454545454545524,-18.454545454545453
Amygdala_R,27.05645161290323,-0.5725806451612954,-18.806451612903224
Calcarine_L,-10.056657223796037,-77.54900849858356,5.473087818696882
Calcarine_R,15.709833422890924,-74.44922084900591,8.019344438473937
Cuneus_L,-8.398312236286927,-80.5434599156118,26.17215189873417
Cuneus_R,13.122881355932208,-80.70621468926554,26.871468926553675
Lingual_L,-15.359290290783633,-68.6742237555446,-6.274026614095618
Lingual_R,16.077391304347827,-68.14173913043479,-5.215652173913043
Occipital_Sup_L,-16.756954612005856,-85.61054172767203,26.853587115666173
Occipital_Sup_R,23.963172804532576,-82.20396600566572,29.284702549575073
Occipital_Mid_L,-32.639288997854734,-81.99387067116152,14.788844621513945
Occipital_Mid_R,37.10644391408114,-81.00143198090691,18.095465393794754
Occipital_Inf_L,-36.48246546227418,-79.56854410201913,-9.164718384697132
Occipital_Inf_R,37.87057633973711,-83.19110212335693,-8.99292214357937
Fusiform_L,-31.39514731369151,-41.36221837088388,-21.61525129982669
Fusiform_R,33.6637519872814,-40.16057233704292,-21.546899841017485
Postcentral_L,-42.90441932168551,-23.7754367934224,47.4568345323741
Postcentral_R,41.15825268114045,-26.772691603452785,51.25398901386346
Parietal_Sup_L,-23.719961240310084,-60.799418604651166,57.66375968992247
Parietal_Sup_R,25.838811346240433,-60.436740207113914,60.71949572264745
Parietal_Inf_L,-43.10666121781774,-47.01920719248059,45.42296689824275
Parietal_Inf_R,46.291449814126395,-47.58810408921933,48.19182156133829
SupraMarginal_L,-56.146496815286625,-34.93630573248407,29.119426751592357
SupraMarginal_R,57.27116066903193,-32.82209832742018,33.13228585909782
Angular_L,-44.424914675767916,-62.08532423208191,34.27815699658703
Angular_R,45.22831050228311,-61.23858447488584,37.31506849315069
Precuneus_L,-8.48628192999054,-56.90192368338063,47.13213497319458
Precuneus_R,9.684436274509807,-57.31188725490196,42.36519607843137
Paracentral_Lobule_L,-8.320185614849194,-26.78731631863883,69.02088167053364
Paracentral_Lobule_R,7.126794258373209,-32.942583732057415,66.79186602870814
Caudate_L,-11.767151767151773,9.723492723492711,8.070686070686065
Caudate_R,14.494969818913475,10.776659959758547,8.148893360160969
Putamen_L,-24.20812685827552,2.600594648166492,1.0703666997026744
Putamen_R,27.484962406015043,3.6785714285714164,1.1936090225563873
Pallidum_L,-18.061433447098977,-1.3583617747440258,-1.0443686006825885
Pallidum_R,20.921428571428578,-1.057142857142864,-1.085714285714289
Thalamus_L,-11.300917431192659,-18.869724770642208,6.60366972477064
Thalamus_R,12.703878902554393,-18.768211920529808,6.7284768211920465
Heschl_L,-42.346666666666664,-20.03555555555556,8.675555555555562
Heschl_R,45.700404858299606,-18.315789473684205,9.085020242914979
Temporal_Sup_L,-53.43554006968641,-22.009581881533094,5.840592334494772
Temporal_Sup_R,57.83253740846865,-23.01050620821394,5.418656478828396
Temporal_Pole_Sup_L,-40.15408560311284,13.867704280155635,-21.436575875486383
Temporal_Pole_Sup_R,47.937219730941706,13.45739910313901,-18.1898355754858
Temporal_Mid_L,-55.86887899635775,-34.98421691622825,-3.584783488466215
Temporal_Mid_R,57.15990020412792,-38.565661147652534,-2.7752324790201897
Temporal_Pole_Mid_L,-36.602666666666664,13.354666666666674,-35.40533333333333
Temporal_Pole_Mid_R,43.981418918918905,13.275337837837839,-33.554054054054056
Temporal_Inf_L,-50.03625,-29.291875000000005,-24.519374999999997
Temporal_Inf_R,53.37158931082982,-32.13445850914205,-23.737834036568216
Cerebelum_Crus1_L,-35.38532462543219,-67.94314252785247,-30.262773722627735
Cerebelum_Crus1_R,38.214501510574024,-68.37160120845923,-30.849697885196377
Cerebelum_Crus2_L,-28.56786102062975,-74.37133550488599,-39.69055374592834
Cerebelum_Crus2_R,32.673594709494566,-70.39678790741615,-41.20170051960321
Cerebelum_3_L,-8.117647058823536,-38.367647058823536,-19.779411764705884
Cerebelum_3_R,13.062801932367151,-35.710144927536234,-20.59903381642512
Cerebelum_4_5_L,-14.343111111111114,-44.66311111111111,-18.261333333333333
Cerebelum_4_5_R,17.888501742160273,-44.16492450638792,-19.354239256678284
Cerebelum_6_L,-22.525383707201883,-60.25855962219599,-23.480519480519483
Cerebelum_6_R,25.429526462395543,-59.53760445682451,-24.94038997214485
